Signature	HR.TDXd	HR.cl.TDXd	HR.cu.TDXd	median.PFS.0	median.PFS.1	n.0.TDXd	n.1.TDXd
HALLMARK_HYPOXIA	1.02814046422661	0.76056437721689	1.38985317462308	10.88 (8.19-12.3)	9.8 (8.15-12.23)	127	133
HALLMARK_NOTCH_SIGNALING	0.824890772508561	0.609476819891496	1.11644079702803	11.08 (9.67-14.66)	8.65 (6.97-10.88)	127	133
HALLMARK_IL2_STAT5_SIGNALING	1.07561296578339	0.795400711598501	1.45454138434986	9.7 (7.53-11.74)	10.29 (8.48-13.32)	124	136
HALLMARK_ANGIOGENESIS	1.0343560621411	0.764466899887096	1.39952751838707	10.32 (8.45-12.46)	9.76 (8.05-12.23)	126	134
HALLMARK_ALLOGRAFT_REJECTION	1.21478771481758	0.895818396027673	1.64733075209825	12.3 (9.73-16.44)	8.65 (7.04-10.88)	129	131
HALLMARK_HEDGEHOG_SIGNALING	0.796514056073288	0.588764600482798	1.0775692713218	9.57 (7.66-10.95)	11.31 (9.53-13.78)	123	137
HALLMARK_TNFA_SIGNALING_VIA_NFKB	1.13626867423716	0.839082725163544	1.53871181152135	11.08 (9.47-15.12)	9.67 (8.12-10.98)	129	131
HALLMARK_INFLAMMATORY_RESPONSE	0.816237826728383	0.600950231094586	1.10865119157831	9.99 (8.19-11.74)	10.03 (8.15-12.59)	125	135
HALLMARK_TGF_BETA_SIGNALING	0.920633454869717	0.680852777396005	1.24485936808095	10.29 (9.5-12.46)	9.76 (7.2-12.3)	117	143
HALLMARK_KRAS_SIGNALING_UP	1.67069519985013	1.22505574959723	2.27844524767135	10.85 (8.05-12.3)	9.8 (8.45-12.3)	125	135
HALLMARK_PROTEIN_SECRETION	0.784062740109015	0.579372303030863	1.0610696735265	10.55 (8.38-12.3)	9.83 (8.12-12.33)	126	134
HALLMARK_UV_RESPONSE_DN	0.885061465108806	0.654449117443027	1.19693613474655	9.8 (8.05-11.41)	10.55 (8.45-13.61)	124	136
HALLMARK_GLYCOLYSIS	1.28399486760789	0.948799917583524	1.73760851944665	10.32 (8.52-12.3)	9.83 (7.13-12.3)	126	134
